0	33.33	33.33	0.00	0	0	0	0	0	0.00
1	60.33	57.33	0.75	0	1	9	12	4	0.60
2	51.33	10.33	0.75	1	1	12	15	1	0.70
3	41.00	35.33	0.75	0	1	14	17	5	0.80
4	7.67	45.67	0.50	1	0	12	15	5	0.70
5	63.33	9.33	0.33	1	1	14	17	4	0.60
6	2.67	23.67	0.50	1	1	12	15	2	0.80
7	34.33	43.33	0.33	1	0	9	12	4	0.90
8	20.67	16.67	0.33	1	1	9	12	4	0.90
9	29.67	53.67	0.50	1	1	14	17	4	0.90
10	39.00	30.33	0.50	1	0	12	15	2	0.80
11	4.00	52.00	0.75	1	0	14	17	2	0.90
12	29.33	55.00	0.33	1	1	9	12	3	0.80
13	35.67	41.67	0.33	1	1	14	17	5	0.70
14	2.67	24.67	0.33	1	0	14	17	4	0.80
15	35.00	41.67	0.33	0	1	14	17	1	0.70
16	39.33	64.00	0.75	1	0	9	12	3	0.70
17	48.67	3.67	0.50	1	0	12	15	2	0.90
18	31.00	4.33	0.75	1	0	12	15	1	0.60
19	62.67	41.67	0.33	1	1	12	15	2	0.80
20	29.00	39.00	0.75	1	1	12	15	1	0.90
21	41.00	10.33	0.75	1	1	12	15	4	0.80
22	40.33	63.00	0.75	0	1	14	17	1	0.90
23	58.00	42.67	0.50	0	1	9	12	4	0.60
24	65.67	26.67	0.50	0	1	14	17	1	0.70
25	50.33	55.00	0.75	1	0	12	15	4	0.70
26	46.67	1.33	0.50	0	1	9	12	1	0.90
27	26.00	61.33	0.75	1	0	9	12	1	0.80
28	32.00	50.00	0.50	1	1	14	17	5	0.90
29	32.00	49.00	0.33	0	1	9	12	3	0.60
30	49.67	60.67	0.33	0	1	14	17	5	0.80
31	29.00	63.67	0.75	1	0	9	12	2	0.70
32	63.00	50.33	0.75	0	1	14	17	3	0.70
33	33.00	48.00	0.75	1	0	14	17	2	0.90
34	21.33	17.33	0.75	1	1	12	15	1	0.70
35	2.33	50.33	0.75	1	1	12	15	4	0.80
36	50.33	33.00	0.33	1	0	14	17	1	0.60
37	29.00	39.33	0.50	1	0	12	15	4	0.60
38	59.67	47.00	0.50	0	1	12	15	5	0.70
39	64.00	50.33	0.75	0	1	12	15	1	0.70
40	47.67	0.00	0.33	1	0	14	17	2	0.70
41	22.00	19.33	0.50	1	0	14	17	4	0.80
42	40.67	4.67	0.33	1	0	14	17	3	0.70
43	22.00	17.33	0.50	1	0	14	17	2	0.70
44	57.67	18.33	0.50	1	0	14	17	1	0.70
45	39.67	12.33	0.50	1	0	12	15	5	0.70
46	66.33	9.33	0.33	1	1	12	15	1	0.70
47	30.00	53.67	0.75	1	1	14	17	5	0.80
48	12.00	64.33	0.33	1	1	14	17	4	0.80
49	53.00	53.33	0.33	1	0	14	17	2	0.70
50	64.67	37.33	0.33	1	0	12	15	4	0.60
51	58.67	57.67	0.33	1	1	14	17	2	0.80
52	39.00	64.33	0.33	0	1	14	17	4	0.90
53	62.00	32.00	0.75	1	0	14	17	4	0.60
54	13.00	18.67	0.33	0	1	9	12	2	0.90
55	63.00	40.00	0.75	1	1	9	12	3	0.70
56	9.67	46.33	0.75	1	0	9	12	1	0.70
57	12.33	63.33	0.50	1	1	14	17	5	0.80
58	55.00	39.00	0.75	0	1	9	12	4	0.70
59	5.33	28.00	0.50	1	0	12	15	3	0.70
60	62.33	32.33	0.50	1	1	12	15	3	0.80
61	3.33	51.00	0.75	1	0	9	12	2	0.70
62	64.67	49.67	0.50	1	1	9	12	1	0.70
63	62.33	37.33	0.33	1	1	14	17	3	0.70
64	34.33	23.33	0.33	1	0	12	15	3	0.80
65	64.33	53.00	0.33	1	0	12	15	4	0.80
66	25.67	38.33	0.75	0	1	14	17	2	0.90
67	63.33	51.33	0.33	1	0	12	15	3	0.70
68	1.00	25.00	0.75	1	1	9	12	3	0.70
69	5.67	31.00	0.33	0	1	9	12	3	0.70
70	50.33	55.67	0.50	0	1	14	17	5	0.90
71	4.00	28.33	0.75	1	1	12	15	5	0.70
72	40.00	3.67	0.33	1	1	12	15	1	0.80
73	46.67	60.33	0.75	1	0	14	17	1	0.90
74	2.00	22.33	0.75	0	1	14	17	1	0.60
75	45.67	1.33	0.50	1	1	9	12	2	0.90
76	34.33	41.33	0.75	1	1	14	17	1	0.60
77	3.33	22.33	0.75	0	1	9	12	4	0.90
78	16.00	10.00	0.75	1	0	12	15	2	0.80
79	17.67	22.33	0.50	0	1	9	12	4	0.90
80	54.67	37.67	0.50	1	0	9	12	3	0.60
81	15.67	16.33	0.50	1	0	12	15	2	0.60
82	62.33	30.67	0.75	1	1	9	12	1	0.90
83	40.33	38.33	0.75	1	1	9	12	5	0.90
84	15.33	17.00	0.50	1	0	12	15	3	0.70
85	48.00	63.00	0.33	0	1	12	15	1	0.90
86	60.00	31.00	0.33	1	1	9	12	1	0.80
87	50.67	56.00	0.75	1	1	9	12	3	0.70
88	39.00	31.67	0.33	0	1	12	15	1	0.70
89	65.00	8.33	0.50	0	1	14	17	5	0.60
90	36.00	56.00	0.50	1	1	9	12	3	0.90
91	49.67	34.33	0.75	0	1	12	15	3	0.90
92	20.00	19.33	0.75	1	1	12	15	2	0.90
93	65.67	26.33	0.75	1	0	12	15	2	0.90
94	13.00	19.33	0.75	0	1	9	12	3	0.70
95	49.00	62.00	0.75	1	1	14	17	1	0.70
96	51.33	54.33	0.75	1	1	9	12	2	0.60
97	32.00	42.67	0.33	1	0	14	17	1	0.90
98	10.00	62.33	0.33	0	1	14	17	5	0.70
99	41.00	40.33	0.33	1	0	14	17	4	0.90
100	34.67	22.67	0.33	1	1	9	12	5	0.90
101	34.00	42.67	0.75	0	1	9	12	4	0.80
102	6.00	29.67	0.33	0	1	14	17	2	0.90
103	65.67	25.67	0.50	0	1	14	17	4	0.90
104	52.00	3.67	0.75	0	1	12	15	3	0.70
105	48.00	11.00	0.33	0	1	14	17	4	0.80
106	33.67	22.33	0.33	1	0	12	15	4	0.70
107	53.00	40.33	0.33	1	1	9	12	2	0.60
108	28.00	64.00	0.33	0	1	12	15	5	0.60
109	46.33	2.33	0.33	1	1	9	12	2	0.90
110	2.33	50.67	0.50	0	1	12	15	2	0.70
111	60.33	49.00	0.50	0	1	14	17	1	0.80
112	34.67	56.67	0.50	1	1	9	12	2	0.90
113	4.33	27.00	0.75	1	1	9	12	3	0.80
